18-Feb-2015 14:32:49:715, INFO, balancing incidence table 5 has 1227 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:49:717, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:49:826, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:49:992, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:50:167, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:50:327, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:50:469, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:50:751, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:51:020, INFO, combining final incidence tables.
18-Feb-2015 14:32:51:020, INFO, balancing incidence table 0 has 1616 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:51:021, INFO, balancing incidence table 1 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:51:022, INFO, balancing incidence table 2 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:51:023, INFO, balancing incidence table 3 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:51:024, INFO, balancing incidence table 4 has 1616 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:51:026, INFO, balancing incidence table 5 has 1616 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:51:027, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:51:120, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:51:296, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:51:475, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:51:646, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:51:827, INFO, getting County Level META Control: Number of persons by age group count incidence table.
