MAZ,2010 HH
13869,201
13870,226
13871,2
13872,442
13873,437
13874,416
13875,373
13876,600
13879,19
13880,64
13881,59
13882,60
13883,84
13885,78
13886,30
13887,62
13888,47
13889,78
13890,91
13891,67
13894,38
13896,45
13897,45
13899,209
13900,1
13901,371
13902,54
13903,72
13904,0
13905,100
13906,118
13908,153
13911,400
13912,86
13915,0
13917,161
13918,72
13920,109
13921,121
13922,82
13923,57
13924,44
13926,102
13928,133
13929,52
13930,85
13932,48
13934,60
13935,19
13936,27
13938,57
13939,47
13941,43
13942,30
13946,31
13949,26
13958,111
13965,0
13966,141
13968,155
13970,61
13972,50
13973,54
13975,0
13982,92
13983,0
13988,0
13990,52
13997,260
13998,154
13999,210
14000,88
14001,383
14002,32
14003,75
14005,82
14006,28
14009,87
14014,180
14015,168
14023,93
14024,124
14026,152
14027,148
14029,30
14030,94
14031,70
14032,36
14033,46
14035,53
14036,59
14037,125
14040,78
14041,77
14043,228
14048,129
14049,74
14053,120
14054,108
14056,80
14057,105
14058,127
14059,0
14061,0
14062,0
14064,0
14066,42
14067,102
14068,64
14069,350
14070,51
14073,0
14076,102
14077,80
14078,40
14079,86
14081,264
14083,2
14084,12
14087,57
14088,19
14090,68
14091,197
14092,111
14093,98
14094,208
14095,91
14096,170
14097,76
14100,64
14102,50
14103,0
14106,60
14107,63
14108,35
14109,94
14110,60
14117,0
14128,163
14131,94
14132,94
14133,88
14134,513
14135,119
14137,197
14138,87
14139,71
14141,215
14142,87
14143,111
14144,54
14145,142
14146,58
14148,85
14149,85
14150,98
14151,53
14160,75
14161,104
14165,0
14166,0
14167,24
14169,49
14174,46
14175,56
14177,76
14179,45
14180,35
14186,103
14189,66
14190,28
14191,72
14193,57
14196,47
14197,44
14198,84
14200,0
14201,135
14202,110
14203,684
14204,98
14205,0
14206,119
14207,125
14208,177
14210,63
14211,213
14212,47
14214,336
14215,113
14217,76
14218,93
14219,68
14220,87
14221,79
14226,57
14228,81
14229,7
14231,3
14233,181
14235,0
14236,0
14237,0
14238,0
14239,0
14240,57
14241,0
14242,73
14243,0
14244,0
14245,0
14247,60
14248,62
14249,37
14251,89
14253,32
14254,35
14255,231
14260,0
14262,222
14263,0
14264,45
14265,33
14267,0
14268,66
14269,99
14270,44
14271,54
14276,50
14279,110
14280,31
14281,45
14283,0
14284,160
14289,48
14290,49
14291,113
14292,52
14293,60
14294,71
14295,51
14296,80
14297,58
14299,37
14300,52
14301,53
14302,33
14304,1
14306,32
14308,53
14309,41
14310,72
14312,0
14313,0
14314,52
14315,16
14316,67
14319,31
14321,60
14322,91
14326,94
14328,55
14330,46
14332,67
14334,51
14336,181
14340,89
14344,45
14347,49
14348,56
14349,36
14352,64
14353,94
14354,52
14355,49
14356,49
14357,61
14358,51
14359,48
14360,74
14361,73
14362,41
14363,104
14365,97
14366,64
14371,122
14372,117
14374,95
14376,72
14377,27
14379,26
14382,52
14387,34
14392,87
14394,113
14396,107
14400,56
14401,48
14404,45
14409,13
14414,246
14415,175
14416,151
14417,118
14418,249
14419,293
14420,413
14421,514
14423,201
14426,31
14427,46
14434,0
14436,96
14438,113
14439,112
14443,22
14447,154
14449,116
14451,52
14453,129
14456,16
14457,28
14458,42
14459,59
14460,66
14461,63
14462,29
14463,120
14466,16
14468,87
14470,162
14471,122
14472,63
14474,91
14475,77
14476,130
14477,86
14478,130
14479,116
14480,141
14481,72
14482,69
14483,47
14484,61
14485,54
14487,50
14488,94
14490,47
14491,47
14492,36
14501,0
14505,112
14508,105
14510,90
14516,83
14517,85
14518,70
14519,62
14520,73
14525,26
14526,39
14530,22
14531,141
14532,66
14533,71
14534,123
14535,95
14536,81
14538,69
14539,94
14541,130
14542,89
14543,49
14544,130
14545,31
14546,33
14547,48
14550,46
14553,14
14562,74
14564,76
14582,101
14583,25
14585,74
14586,46
14587,83
14588,178
14589,80
14590,59
14591,191
14592,0
14593,107
14594,127
14595,68
14596,123
14597,68
14598,64
14599,58
14600,67
14605,105
14606,65
14611,139
14612,0
14613,31
14614,75
14615,230
14616,151
14617,34
14618,251
14619,1
14620,0
14623,99
14624,64
14627,61
14628,63
14630,61
14631,34
14634,87
14635,128
14636,72
14638,41
14640,101
14642,95
14644,78
14645,63
14646,161
14647,90
14649,63
14651,66
14652,65
14653,66
14655,118
14656,57
14657,62
14658,83
14659,0
14660,0
14661,0
14662,0
14665,0
14666,903
14667,53
14670,74
14671,75
14672,69
14675,41
14676,84
14680,59
14681,82
14682,91
14684,88
14685,65
14689,0
14691,67
14692,67
14693,71
14699,66
14700,46
14701,54
14702,48
14703,32
14704,40
14705,62
14709,113
14710,76
14711,43
14712,53
14713,17
14714,42
14715,76
14716,97
14717,33
14739,137
14742,27
14744,51
14745,51
14748,181
14749,0
14752,211
14753,127
14754,85
14755,122
14756,139
14759,117
14760,95
14761,303
14769,223
14773,99
14779,59
14780,102
14781,19
14782,125
14783,83
14787,45
14788,46
14790,34
14794,140
14795,87
14796,45
14797,147
14798,87
14799,127
14800,101
14801,132
14802,98
14803,99
14805,72
14806,115
14809,33
14810,35
14811,41
14814,51
14825,50
14827,77
14830,29
14832,0
14833,112
14834,67
14835,62
14836,0
14837,60
14838,118
14839,167
14840,186
14841,37
14842,52
14844,53
14845,138
14846,51
14851,0
14852,57
14855,64
14856,54
14857,21
14858,72
14859,167
14860,156
14861,35
14862,29
14863,109
14864,53
14865,46
14866,22
14867,51
14869,53
14870,73
14871,63
14872,69
14875,67
14877,60
14879,34
14882,25
14885,51
14887,0
14888,43
14889,0
14890,43
14893,117
14895,81
14903,25
14904,0
14910,55
